idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
38584;"7891118025824";"BALA 7 BELO FRAMBOESA 100G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38558;"7891962067889";"BOLO ROLINHO LARANJA 40G";"49";0,00;"49";0,00;"500";"19059090";0,00;
38607;"0000000038607";"GUARDA CHUVA DE CHOCOLATE KI-KAKAU";"";0,00;"";0,00;"102";"96039000";0,00;
38616;"7891025124122";"D.ACTIVIA AMEIXA LEVE 800G PAGUE 750G";"49";0,00;"49";0,00;"102";"04039000";0,00;
38617;"7891025124139";"D.ACTIVIA MORANGO LEVE 800G PAGUE 750G";"49";0,00;"49";0,00;"102";"04039000";0,00;
38571;"7898377662401";"REFRIGERANTE IT  COLA  2L";"06";0,00;"06";0,00;"500";"22021000";0,00;
37389;"7898405065372";"MONSTER TRUCK MAGIA DE BRINCAR";"49";0,00;"49";0,00;"102";"95030099";0,00;
38572;"7891150079823";"SORVETE VEGANO KIBON 800ML";"49";0,00;"49";0,00;"102";"21050010";0,00;
38608;"7896581358356";"MEIO DA ASA FRANGO BANDEIJA 1KG";"49";0,00;"49";0,00;"102";"02071300";0,00;
37460;"7896036095072";"POMAROLA PARMEGIANA SACHE 300G";"49";0,00;"49";0,00;"500";"21032010";0,00;
37461;"7896036096079";"POMAROLA MANJERICAO SACHE 300G";"49";0,00;"49";0,00;"500";"21032010";0,00;
37390;"7898938707763";"SAMBIQUIRA UNIAVES PCT KG";"06";0,00;"06";0,00;"102";"02071411";0,00;
38492;"7909843617242";"HAVAIANAS SLIM LISA ROSA PEACH 37/38";"49";0,00;"49";0,00;"102";"64022000";0,00;
38493;"7909843617235";"HAVAIANAS SLIM LISA ROSA PEACH 35/36";"49";0,00;"49";0,00;"102";"64022000";0,00;
38494;"7909843658580";"HAVAIANAS KIDS ATHLETIC MARINHO/MARINHO 31/32";"49";0,00;"49";0,00;"102";"64022000";0,00;
38937;"7898133670671";"MASSA PATUSCO C/OVOS GROSSO 500G";"49";0,00;"49";0,00;"102";"19021100";0,00;
38599;"7898934596248";"DIP LOKO BOOM FRUTAS VERMELHAS 11G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38600;"7898967923837";"DIP LOKO SURPRISE PET MONSTER 11G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38602;"7898656683271";"CONFEITO PIROMANIA";"49";0,00;"49";0,00;"102";"17049020";0,00;
38603;"7898405063644";"BOLHA PINTINHO";"49";0,00;"49";0,00;"102";"95030099";0,00;
37391;"7892840812751";"H2OH CITRUS C/GAS PET 1,5L";"06";0,00;"06";0,00;"500";"22021000";0,00;
37392;"9002490250270";"RED BULL PITAYA LATA 250ML";"06";0,00;"06";0,00;"500";"22029900";0,00;
